,Delta Temperature[K],Rotational speed [rpm],Torque [Nm],Tool wear [min],label
184,9.199999999999989,1394,46.7,130,0
185,9.399999999999977,1717,27.1,7,0
186,11.0,1590,31.3,98,0
187,11.300000000000011,1492,45.7,219,0
188,11.400000000000034,1555,38.2,175,0
189,9.600000000000023,1374,47.7,8,0
190,10.0,1555,37.0,111,0
191,10.899999999999977,1475,42.4,24,0
192,9.300000000000011,1440,53.8,90,0
193,11.299999999999955,1422,42.1,148,0
194,11.100000000000023,1881,24.3,40,0
195,10.800000000000011,1596,36.8,77,0
196,9.199999999999989,1392,42.4,3,0
197,9.799999999999955,1401,42.6,114,0
198,9.5,1620,30.0,168,0
199,9.199999999999989,1570,36.8,189,0
200,11.199999999999989,1544,30.2,113,0
201,8.099999999999966,1679,34.8,25,0
202,10.699999999999989,1368,44.7,147,0
203,9.699999999999989,1453,43.2,153,0
204,9.599999999999966,1439,47.4,57,0
205,9.799999999999955,1331,46.4,16,0
206,8.100000000000023,1452,58.3,123,0
207,9.300000000000011,1584,32.6,71,0
208,9.199999999999989,1418,42.7,147,0
209,11.299999999999955,1668,32.3,6,0
210,11.300000000000011,1545,36.9,125,0
211,11.100000000000023,1450,46.8,118,0
212,8.899999999999977,1383,45.7,44,0
213,9.0,1737,29.3,114,0
214,9.099999999999966,1501,41.6,192,0
215,11.300000000000011,1303,68.6,111,1
216,8.199999999999989,1332,52.7,66,1
217,11.300000000000011,1412,42.5,181,0
218,8.800000000000011,1593,35.2,29,0
219,9.300000000000011,1510,41.4,94,0
220,9.399999999999977,1587,33.6,108,0
221,11.399999999999977,1619,31.6,129,0
222,7.7999999999999545,1743,26.3,191,0
223,10.899999999999977,1468,38.7,39,0
224,10.5,1379,57.4,122,0
225,8.899999999999977,1885,27.5,147,0
226,9.600000000000023,1434,45.9,108,0
227,10.700000000000045,1487,37.4,162,0
228,11.300000000000011,2874,4.2,118,1
229,9.700000000000045,1670,35.9,68,0
230,8.699999999999989,2168,17.7,219,0
231,8.900000000000034,1418,47.0,61,0
232,8.899999999999977,1314,58.2,114,0
233,9.599999999999966,1518,36.0,59,0
234,10.699999999999989,1398,55.4,217,1
235,10.600000000000023,1254,55.8,65,0
236,7.599999999999966,2676,10.8,84,1
237,11.199999999999989,1682,29.7,83,0
238,10.100000000000023,1819,23.4,78,0
239,9.899999999999977,1765,24.2,179,0
240,11.0,1425,44.5,49,0
241,11.599999999999966,2174,18.5,95,0
242,11.100000000000023,1861,26.9,130,0
243,8.5,1370,44.4,85,1
244,10.599999999999966,1435,51.6,126,0
245,9.600000000000023,1526,41.1,162,0
246,9.5,1496,39.2,12,0
247,11.600000000000023,1464,44.5,179,0
248,10.899999999999977,1655,32.2,12,0
249,9.699999999999989,1521,42.3,215,0
250,11.199999999999989,1602,35.9,67,0
251,7.800000000000011,1653,29.7,34,0
252,7.900000000000034,1520,31.6,121,0
253,11.100000000000023,1607,33.5,104,0
254,10.600000000000023,1683,28.5,63,0
255,10.600000000000023,1575,37.4,98,0
256,9.300000000000011,1409,56.0,19,0
257,11.100000000000023,1407,42.4,224,0
258,9.5,1642,29.1,46,0
259,7.800000000000011,1331,45.5,53,1
260,9.299999999999955,1448,49.5,72,0
261,10.300000000000011,1581,36.7,101,0
262,9.599999999999966,1601,33.3,33,0
263,10.100000000000023,1490,46.2,6,0
264,11.300000000000011,1511,35.7,120,0
265,8.5,1771,31.6,202,0
266,10.100000000000023,1448,46.3,173,0
267,10.900000000000034,1568,36.3,166,0
268,11.100000000000023,1418,51.2,52,0
269,9.599999999999966,1401,48.1,143,0
270,9.399999999999977,1306,59.7,172,0
271,11.100000000000023,1441,43.8,210,0
272,9.100000000000023,1769,26.0,10,0
273,9.300000000000011,1510,47.8,27,0
274,8.599999999999966,1620,30.3,112,0
275,9.100000000000023,1669,32.2,191,0
276,9.199999999999989,1457,49.4,96,0
277,11.300000000000011,1304,62.8,118,0
278,10.799999999999955,1440,48.2,136,0
279,8.800000000000011,1448,50.5,53,0
280,11.100000000000023,1440,47.0,21,0
281,10.099999999999966,1440,52.5,200,0
282,9.200000000000045,1536,34.5,154,0
283,11.5,1499,44.2,134,0
284,9.299999999999955,1538,40.4,13,0
285,11.399999999999977,1571,31.2,123,0
286,11.100000000000023,1422,43.6,78,0
287,9.300000000000011,1280,61.0,106,0
288,9.5,1544,36.0,148,0
289,10.699999999999989,1261,51.1,130,0
290,11.299999999999955,1474,39.7,64,0
291,8.800000000000011,1520,35.6,154,0
292,9.199999999999989,1841,22.8,40,0
293,9.200000000000045,1425,49.3,199,0
294,9.399999999999977,1761,24.3,174,0
295,10.900000000000034,1605,37.0,84,0
296,11.199999999999989,1617,33.0,203,0
297,8.600000000000023,1850,23.3,203,0
298,9.899999999999977,1450,43.4,66,0
299,10.899999999999977,1573,36.0,97,0
300,11.699999999999989,1548,37.4,171,0
301,9.099999999999966,1494,39.5,24,0
302,8.600000000000023,1361,46.7,182,0
303,11.100000000000023,1970,21.6,37,0
304,10.0,1314,42.4,198,0
305,10.599999999999966,1612,32.1,183,0
306,10.0,1727,30.1,102,0
307,10.100000000000023,1714,28.7,55,0
308,7.899999999999977,1506,33.8,43,0
309,9.100000000000023,1416,46.6,201,0
310,11.0,1377,53.8,125,0
311,11.199999999999989,1891,22.6,86,0
312,9.300000000000011,1474,49.6,191,0
313,10.099999999999966,1398,51.5,0,0
314,11.300000000000011,1868,24.0,221,0
315,9.100000000000023,1648,35.7,119,0
316,11.399999999999977,1663,30.4,209,0
317,9.700000000000045,1500,43.3,10,0
318,8.899999999999977,1506,40.0,50,0
319,9.199999999999989,1470,44.0,113,0
320,11.399999999999977,1413,40.2,51,0
321,11.400000000000034,1498,41.1,88,0
322,9.399999999999977,1391,52.5,61,0
323,11.0,1722,30.4,178,0
324,9.100000000000023,1759,28.4,74,0
325,10.699999999999989,1670,31.3,150,0
326,8.400000000000034,1515,42.6,204,0
327,11.0,2833,5.6,213,1
328,9.5,1608,33.8,106,0
329,11.0,1728,31.7,133,0
330,11.0,1376,48.6,159,0
331,10.300000000000011,2678,10.7,86,1
332,10.300000000000011,1353,60.4,139,0
333,9.699999999999989,1384,43.7,200,0
334,10.199999999999989,1466,42.6,2,0
335,9.300000000000011,1626,31.1,166,0
336,9.299999999999955,1426,47.9,67,0
337,9.5,1413,43.0,137,0
338,9.5,1326,64.8,71,0
339,8.400000000000034,1485,46.3,24,0
340,11.100000000000023,1520,35.6,48,0
341,8.899999999999977,1546,40.0,71,0
342,10.800000000000011,1472,40.1,31,0
343,9.199999999999989,1494,39.0,49,0
344,9.600000000000023,1700,33.5,185,0
345,11.0,1586,35.5,0,0
346,10.5,1328,49.9,206,0
347,10.899999999999977,1508,37.1,92,0
348,9.800000000000011,1448,38.2,218,0
349,9.300000000000011,1463,44.0,140,0
350,10.900000000000034,1549,35.8,206,1
351,9.099999999999966,2093,18.7,190,0
352,9.400000000000034,1526,30.8,37,0
353,8.5,1627,32.5,7,0
354,11.600000000000023,1536,37.3,120,0
355,9.5,1604,34.7,159,0
356,9.099999999999966,1638,33.8,196,0
357,11.5,1498,42.9,25,0
358,10.600000000000023,1300,53.0,172,0
359,8.0,1369,47.5,11,1
360,11.100000000000023,1776,28.0,43,0
361,11.199999999999989,1486,38.5,55,0
362,8.400000000000034,1462,38.3,49,0
363,11.699999999999989,1543,34.3,8,0
364,11.199999999999989,1657,30.9,116,0
365,9.300000000000011,1605,33.0,151,0
366,11.0,1935,19.3,24,0
367,10.300000000000011,1332,59.1,115,0
368,10.800000000000011,1437,38.0,93,0
369,11.299999999999955,1729,29.3,71,0
370,8.900000000000034,1467,40.3,166,0
371,9.399999999999977,1850,22.8,33,0
372,11.100000000000023,1782,25.9,54,0
373,9.199999999999989,1477,43.6,196,0
374,9.300000000000011,1487,36.6,84,0
375,8.5,1331,61.2,47,1
376,9.199999999999989,1388,53.2,59,0
377,9.0,1508,41.2,60,0
378,9.300000000000011,1605,37.0,78,0
379,11.399999999999977,1524,39.8,120,0
380,9.599999999999966,1537,40.8,169,0
381,9.5,1608,34.4,68,0
382,10.100000000000023,1420,47.4,167,0
383,9.199999999999989,1482,41.4,32,0
384,11.0,1595,36.9,25,0
385,9.599999999999966,1388,40.3,109,0
386,9.300000000000011,1500,41.0,118,0
387,9.599999999999966,1677,30.1,130,0
388,11.5,1455,41.7,130,0
389,9.799999999999955,1698,33.3,40,0
390,10.300000000000011,1393,52.6,167,0
391,10.899999999999977,1589,35.3,149,0
392,11.0,1701,30.8,44,0
393,9.300000000000011,1594,32.8,79,0
394,9.300000000000011,1472,53.5,28,0
395,11.299999999999955,1629,31.3,41,0
396,11.199999999999989,1563,42.1,19,0
397,9.900000000000034,1599,33.0,7,0
398,11.800000000000011,1459,49.7,201,0
399,11.399999999999977,1683,30.9,163,0
400,8.899999999999977,1679,29.0,222,0
401,11.0,1642,35.1,149,0
402,10.699999999999989,1687,30.4,82,0
403,9.100000000000023,1389,46.9,106,0
404,9.399999999999977,1476,43.6,173,0
405,8.800000000000011,1399,53.2,174,0
406,9.5,1470,42.7,119,0
407,11.400000000000034,1489,40.2,214,0
408,9.300000000000011,1520,39.9,48,0
409,9.399999999999977,1529,38.7,91,0
410,11.0,1597,32.1,114,0
411,10.699999999999989,1432,43.4,68,0
412,9.399999999999977,1435,42.6,111,0
413,10.600000000000023,1626,33.3,50,0
414,10.599999999999966,1453,44.6,38,0
415,11.200000000000045,1477,35.6,101,0
416,11.0,1679,32.4,90,0
417,11.399999999999977,1431,49.4,37,0
418,8.599999999999966,1608,30.3,81,0
419,9.400000000000034,1460,48.6,204,0
420,11.199999999999989,1416,45.9,101,0
421,9.800000000000011,1624,40.9,0,0
422,9.300000000000011,1548,40.3,21,0
423,9.800000000000011,1433,44.7,108,0
424,9.5,1574,33.8,63,0
425,8.699999999999989,1696,32.4,202,0
426,9.0,1677,29.2,49,0
427,9.099999999999966,1422,50.3,146,0
428,9.300000000000011,2293,16.3,170,0
429,9.900000000000034,1433,49.6,129,0
430,11.099999999999966,1672,27.5,54,0
431,8.699999999999989,1453,42.7,92,0
432,9.399999999999977,1572,35.4,158,0
433,11.0,1823,24.3,219,0
434,9.600000000000023,1381,44.9,88,0
435,11.299999999999955,1853,26.3,166,0
436,10.700000000000045,1576,38.8,167,0
437,11.199999999999989,1710,27.7,138,0
438,11.300000000000011,1463,41.6,102,0
439,9.699999999999989,1700,28.8,39,0
440,10.0,1749,26.4,40,0
441,8.5,1687,26.6,16,0
442,12.0,1501,49.8,222,1
443,9.199999999999989,1686,27.9,135,0
444,11.400000000000034,1325,62.4,204,1
445,10.0,1456,43.7,80,0
446,9.400000000000034,1421,47.2,0,0
447,9.300000000000011,1523,39.8,150,0
448,12.0,1591,37.7,196,0
449,11.300000000000011,1459,45.6,3,0
450,7.800000000000011,1578,31.2,139,0
451,9.300000000000011,1539,43.2,132,0
452,9.600000000000023,1683,32.8,122,0
453,8.600000000000023,1468,40.8,32,0
454,11.200000000000045,1461,40.1,126,0
455,9.599999999999966,1494,38.5,33,0
456,8.400000000000034,2268,15.8,20,0
457,11.400000000000034,1391,48.9,139,0
458,9.199999999999989,1662,30.4,55,0
459,10.600000000000023,1526,42.3,129,0
460,9.600000000000023,1404,47.3,86,0
461,9.0,1623,33.5,157,0
462,10.699999999999989,1378,53.5,65,0
463,11.5,1450,46.9,186,0
464,8.900000000000034,1455,42.7,85,0
465,11.300000000000011,1574,36.2,181,0
466,11.400000000000034,1671,28.8,149,0
467,9.099999999999966,1369,50.8,164,0
468,8.400000000000034,1438,58.9,22,0
469,11.199999999999989,1677,26.4,146,0
470,11.399999999999977,1707,33.6,158,0
471,11.099999999999966,1460,46.7,150,0
472,7.899999999999977,1447,42.8,185,0
473,9.5,1521,36.7,130,0
474,11.199999999999989,1395,47.8,90,0
475,8.800000000000011,1435,43.1,149,0
476,9.699999999999989,1544,31.4,192,0
477,9.5,1554,41.6,62,0
478,11.399999999999977,1319,51.4,170,0
479,10.900000000000034,1547,34.7,150,0
480,9.5,1403,51.9,77,0
481,9.300000000000011,2117,18.6,22,0
482,11.399999999999977,1814,26.8,204,0
483,11.0,1375,55.6,128,0
484,10.100000000000023,1925,22.0,74,0
485,11.399999999999977,1532,36.6,62,0
486,9.100000000000023,1505,37.9,79,0
487,9.699999999999989,1711,28.5,140,0
488,8.899999999999977,1441,49.3,58,0
489,11.199999999999989,1454,45.0,19,0
490,8.699999999999989,1601,40.2,69,0
491,9.199999999999989,1433,48.8,191,0
492,9.200000000000045,1481,37.6,77,0
493,10.899999999999977,1360,60.9,187,1
494,11.400000000000034,1356,53.5,132,0
495,8.5,1686,28.9,59,0
496,10.5,1387,42.7,121,0
497,10.0,1639,42.1,159,0
498,9.400000000000034,1473,40.4,59,0
499,9.800000000000011,1660,27.0,50,0
500,10.300000000000011,1445,46.6,155,0
501,9.5,1482,43.6,154,0
502,9.300000000000011,1445,43.9,164,0
503,9.600000000000023,1460,53.6,74,0
504,11.100000000000023,1719,27.3,58,0
505,9.099999999999966,1484,39.5,22,0
506,8.699999999999989,1368,52.6,123,0
507,10.199999999999989,1521,39.4,61,0
508,11.199999999999989,1363,53.6,194,0
509,11.0,1509,38.0,168,0
510,11.200000000000045,1604,32.8,85,0
511,9.5,1348,54.8,50,0
512,9.5,1488,39.4,157,0
513,11.300000000000011,1535,36.8,210,0
514,9.400000000000034,1368,51.8,5,0
515,9.0,1928,23.1,2,0
516,11.300000000000011,1312,50.3,159,0
517,9.599999999999966,1414,48.7,159,0
518,11.300000000000011,1364,55.6,163,0
519,10.799999999999955,1389,42.7,48,0
520,9.800000000000011,1567,34.7,74,0
521,9.200000000000045,1431,40.6,101,0
522,9.0,1417,46.9,35,0
523,11.300000000000011,1374,47.4,197,0
524,11.399999999999977,1542,37.0,184,0
525,10.0,1634,29.2,149,0
526,8.599999999999966,1342,62.4,113,1
527,11.100000000000023,1476,39.1,199,0
528,9.099999999999966,1813,24.6,210,0
529,9.100000000000023,1510,37.1,10,0
530,11.0,2049,19.5,111,0
531,10.300000000000011,1462,41.9,126,0
532,9.5,1465,39.9,153,0
533,10.100000000000023,1440,43.7,37,0
534,11.800000000000011,1732,29.9,32,0
535,9.200000000000045,1310,62.9,130,0
536,9.300000000000011,1543,38.5,37,0
537,8.399999999999977,1464,47.2,159,0
538,11.100000000000023,1505,39.4,236,0
539,11.300000000000011,1487,46.9,173,0
540,8.699999999999989,1609,31.0,190,0
541,10.0,1497,43.2,62,0
542,11.100000000000023,1822,23.5,122,0
543,9.699999999999989,1786,23.5,100,0
544,11.199999999999989,1496,37.7,134,0
545,10.100000000000023,1331,52.1,30,0
546,9.899999999999977,1570,34.0,192,0
547,9.5,1307,54.3,68,0
548,11.200000000000045,1655,30.2,146,0
549,11.400000000000034,1376,53.9,215,1
550,9.199999999999989,1341,50.9,137,0
551,10.900000000000034,1413,53.4,203,0
552,8.699999999999989,1506,34.0,49,0
553,9.599999999999966,1378,47.3,71,0
554,11.300000000000011,1689,29.7,101,0
555,9.199999999999989,1387,47.3,2,0
556,8.800000000000011,1373,48.8,211,0
557,7.800000000000011,1688,30.4,115,0
558,9.600000000000023,1305,49.1,16,0
559,9.300000000000011,2016,19.3,180,0
560,10.800000000000011,1436,56.8,173,0
561,8.600000000000023,1756,26.4,190,0
562,9.300000000000011,1512,37.2,126,0
563,9.600000000000023,1749,26.1,66,0
564,11.0,1408,47.9,54,0
565,9.600000000000023,1660,33.8,115,0
566,9.900000000000034,1303,59.3,75,0
567,11.399999999999977,1483,46.9,203,0
568,10.800000000000011,1359,46.9,199,0
569,10.800000000000011,1430,40.9,162,0
570,8.300000000000011,1365,56.2,146,1
571,10.900000000000034,1843,24.5,25,0
572,9.400000000000034,1471,41.8,109,0
573,11.199999999999989,1704,28.3,64,0
574,11.300000000000011,1754,31.3,114,0
575,9.899999999999977,1479,47.6,76,0
576,10.800000000000011,1468,41.1,34,0
577,11.099999999999966,1761,29.0,113,0
578,11.300000000000011,1983,21.0,201,0
579,9.800000000000011,1414,51.7,140,0
580,10.5,1395,46.2,122,0
581,10.600000000000023,1576,39.4,183,0
582,8.300000000000011,1648,29.6,157,0
583,10.800000000000011,1453,40.4,108,0
584,9.700000000000045,1612,30.7,134,0
585,11.199999999999989,2579,12.5,64,1
586,9.0,1980,21.5,20,0
587,9.699999999999989,1433,44.2,17,0
588,8.900000000000034,1329,54.3,80,0
589,10.0,1497,46.8,72,0
590,10.5,1361,44.2,0,0
591,11.199999999999989,1437,42.6,120,0
592,9.199999999999989,1871,21.3,152,0
593,10.600000000000023,1628,36.8,121,0
594,8.799999999999955,1474,40.7,87,0
595,9.800000000000011,1658,30.0,3,0
596,9.100000000000023,1571,33.9,208,0
597,9.100000000000023,1845,22.9,76,0
598,11.100000000000023,1472,42.0,150,0
599,9.5,1541,39.1,17,0
600,10.899999999999977,1493,34.7,57,0
601,11.100000000000023,1290,49.8,43,0
602,9.399999999999977,1840,26.6,202,0
603,9.899999999999977,1438,42.4,7,0
604,11.299999999999955,1452,39.7,151,0
605,9.099999999999966,1414,51.4,199,0
606,11.300000000000011,1555,38.7,5,0
607,11.199999999999989,1595,31.9,134,0
608,9.5,1572,34.4,228,0
609,9.0,1600,32.8,205,0
610,11.399999999999977,1604,38.7,185,0
611,9.300000000000011,1436,54.1,90,0
612,11.300000000000011,1312,53.4,151,0
613,10.900000000000034,1287,61.9,216,1
614,11.199999999999989,1558,41.7,35,0
615,11.199999999999989,1484,44.9,80,0
616,10.599999999999966,1316,57.6,43,0
617,8.800000000000011,1498,45.8,47,0
618,9.099999999999966,2041,19.2,194,0
619,9.199999999999989,1329,54.5,75,0
620,11.0,1479,45.7,93,0
621,10.5,1530,43.9,165,0
622,9.0,1556,39.1,48,0
623,9.199999999999989,1659,28.9,127,0
624,9.600000000000023,1580,39.1,119,0
625,9.5,1642,32.6,26,0
626,8.800000000000011,1625,35.9,121,0
627,11.100000000000023,1440,38.8,29,0
628,9.899999999999977,1445,48.5,70,0
629,10.799999999999955,1398,48.9,63,0
630,9.699999999999989,1785,23.4,181,0
631,9.299999999999955,1532,43.6,15,0
632,8.699999999999989,1655,28.0,170,0
633,11.199999999999989,1506,36.1,141,0
634,9.300000000000011,1459,37.7,40,0
635,11.0,1622,34.6,8,0
636,11.0,1447,41.6,118,0
637,9.899999999999977,1568,38.2,172,0
638,11.600000000000023,1590,36.3,93,0
639,9.199999999999989,1501,40.0,48,0
640,11.0,1546,40.4,129,0
641,11.399999999999977,1491,40.2,112,0
642,9.199999999999989,1434,42.5,175,0
643,10.900000000000034,1442,55.6,194,0
644,9.900000000000034,1281,53.9,77,0
645,10.599999999999966,1569,35.1,140,0
646,9.400000000000034,1542,35.5,191,0
647,9.199999999999989,1752,27.8,208,0
648,9.599999999999966,1633,30.7,145,0
649,10.699999999999989,1989,20.3,186,0
650,9.5,1491,38.5,166,0
651,9.300000000000011,1513,37.8,92,0
652,9.399999999999977,1635,31.6,23,0
653,9.600000000000023,1574,35.8,6,0
654,10.899999999999977,1574,37.1,121,0
655,9.5,1357,42.0,179,0
656,10.100000000000023,1853,23.6,122,0
657,11.400000000000034,1442,45.1,0,0
658,11.300000000000011,2737,8.8,142,1
659,11.0,1493,38.5,132,0
660,9.699999999999989,1402,47.5,197,0
661,10.199999999999989,1723,31.0,73,0
662,11.0,1433,38.5,14,0
663,10.5,1790,25.7,123,0
664,11.400000000000034,1477,38.3,60,0
665,9.700000000000045,1547,40.9,50,0
666,9.700000000000045,1505,40.1,166,0
667,9.200000000000045,2706,9.8,65,1
668,9.400000000000034,1770,24.1,112,0
669,11.099999999999966,1621,28.3,211,0
670,9.699999999999989,1430,56.7,44,0
671,9.0,1657,31.1,151,0
672,8.599999999999966,1491,42.8,98,0
673,9.0,1635,34.2,62,0
674,8.599999999999966,1565,36.0,213,0
675,10.699999999999989,1567,34.6,71,0
676,8.800000000000011,1767,27.4,11,0
677,9.699999999999989,1430,49.6,135,0
678,9.699999999999989,1326,61.9,80,0
679,8.699999999999989,1348,51.0,152,0
680,8.099999999999966,1435,40.1,219,0
681,10.300000000000011,1349,47.0,71,0
682,9.0,1436,42.0,110,0
683,10.800000000000011,2118,17.7,210,0
684,9.399999999999977,1365,46.5,172,0
685,9.899999999999977,1296,54.9,69,0
686,10.0,1689,32.9,151,0
